name	supplier	scope	shipped_file_evidence	purl_template	cpe_product	identity_source	rationale	review_date	owner
qt@5	The Qt Company Ltd	runtime	Frameworks/QtCore.framework/Versions/5/QtCore;PlugIns/platforms/libqcocoa.dylib	pkg:brew/qt%405@{version}	qt:qt	https://nvd.nist.gov/products/cpe/search/results?keyword=cpe%3A2.3%3Aa%3Aqt%3Aqt	Qt frameworks and plugins are shipped and loaded by the game.	2026-08-27	repository-maintainer
freetype	FreeType Project	runtime	Frameworks/libfreetype.6.dylib	pkg:brew/freetype@{version}	freetype:freetype	https://nvd.nist.gov/products/cpe/search/results?keyword=cpe%3A2.3%3Aa%3Afreetype%3Afreetype	Shipped Qt font-rendering dependency.	2026-08-27	repository-maintainer
glib	GNOME Project	runtime	Frameworks/libglib-2.0.0.dylib;Frameworks/libgthread-2.0.0.dylib	pkg:brew/glib@{version}	gnome:glib	https://nvd.nist.gov/products/cpe/search/results?keyword=cpe%3A2.3%3Aa%3Agnome%3Aglib	Shipped GLib runtime and thread helper.	2026-08-27	repository-maintainer
jpeg-turbo	libjpeg-turbo Project	runtime	Frameworks/libjpeg.8.dylib	pkg:brew/jpeg-turbo@{version}	libjpeg-turbo:libjpeg-turbo	https://nvd.nist.gov/products/cpe/search/results?keyword=cpe%3A2.3%3Aa%3Alibjpeg-turbo%3Alibjpeg-turbo	Shipped JPEG codec dependency.	2026-08-27	repository-maintainer
libpng	PNG Development Group	runtime	Frameworks/libpng16.16.dylib	pkg:brew/libpng@{version}	libpng:libpng	https://nvd.nist.gov/products/cpe/search/results?keyword=cpe%3A2.3%3Aa%3Alibpng%3Alibpng	Shipped PNG codec dependency.	2026-08-27	repository-maintainer
libtiff	LibTIFF Project	runtime	Frameworks/libtiff.6.dylib;PlugIns/imageformats/libqtiff.dylib	pkg:brew/libtiff@{version}	libtiff:libtiff	https://nvd.nist.gov/products/cpe/search/results?keyword=cpe%3A2.3%3Aa%3Alibtiff%3Alibtiff	Shipped TIFF codec and Qt TIFF plugin.	2026-08-27	repository-maintainer
md4c	MD4C Project	runtime	Frameworks/libmd4c.0.dylib	pkg:brew/md4c@{version}	md4c_project:md4c	https://nvd.nist.gov/products/cpe/search/results?keyword=cpe%3A2.3%3Aa%3Amd4c_project%3Amd4c	Shipped Markdown parser dependency.	2026-08-27	repository-maintainer
pcre2	PCRE2 Project	runtime	Frameworks/libpcre2-8.0.dylib;Frameworks/libpcre2-16.0.dylib	pkg:brew/pcre2@{version}	pcre:pcre2	https://nvd.nist.gov/products/cpe/search/results?keyword=cpe%3A2.3%3Aa%3Apcre%3Apcre2	Shipped regular-expression runtime dependency.	2026-08-27	repository-maintainer
webp	WebM Project	runtime	Frameworks/libwebp.7.dylib;Frameworks/libwebpdemux.2.dylib;Frameworks/libwebpmux.3.dylib;Frameworks/libsharpyuv.0.dylib	pkg:brew/webp@{version}	webmproject:libwebp	https://nvd.nist.gov/products/cpe/search/results?keyword=cpe%3A2.3%3Aa%3Awebmproject%3Alibwebp	Shipped WebP codecs and Qt WebP plugin dependencies.	2026-08-27	repository-maintainer
zstd	Meta Platforms Inc.	runtime	Frameworks/libzstd.1.dylib	pkg:brew/zstd@{version}	facebook:zstandard	https://nvd.nist.gov/products/cpe/search/results?keyword=cpe%3A2.3%3Aa%3Afacebook%3Azstandard	Shipped compression dependency.	2026-08-27	repository-maintainer
gettext	GNU Project	runtime	Frameworks/libintl.8.dylib	pkg:brew/gettext@{version}	gnu:gettext	https://nvd.nist.gov/products/cpe/search/results?keyword=cpe%3A2.3%3Aa%3Agnu%3Agettext	Shipped internationalization runtime dependency.	2026-08-27	repository-maintainer
xz	Tukaani Project	runtime	Frameworks/liblzma.5.dylib	pkg:brew/xz@{version}	tukaani:xz	https://nvd.nist.gov/products/cpe/search/results?keyword=cpe%3A2.3%3Aa%3Atukaani%3Axz	Shipped LZMA compression dependency.	2026-08-27	repository-maintainer
sqlite	SQLite Project	build	!Frameworks/libsqlite*.dylib;!PlugIns/*/libqsqlite*.dylib	pkg:brew/sqlite@{version}	unmapped	https://sqlite.org/security.html	Build dependency with no shipped runtime file or reachable import.	2026-08-27	repository-maintainer
readline	GNU Project	build	!Frameworks/libreadline*.dylib	pkg:brew/readline@{version}	unmapped	https://savannah.gnu.org/projects/readline/	Build dependency with no shipped runtime file or reachable import.	2026-08-27	repository-maintainer
giflib	giflib Project	build	!Frameworks/libgif*.dylib	pkg:brew/giflib@{version}	unmapped	https://giflib.sourceforge.net/	Build dependency with no shipped runtime file or reachable import.	2026-08-27	repository-maintainer
lz4	LZ4 Project	build	!Frameworks/liblz4*.dylib	pkg:brew/lz4@{version}	unmapped	https://github.com/lz4/lz4/security	Build dependency with no shipped runtime file or reachable import.	2026-08-27	repository-maintainer
libunistring	GNU Project	build	!Frameworks/libunistring*.dylib	pkg:brew/libunistring@{version}	unmapped	https://www.gnu.org/software/libunistring/	Build dependency with no shipped runtime file or reachable import.	2026-08-27	repository-maintainer
